år,uke,attributt,verdi
2003,4,Uke_omsatt,9314.52
2003,4,Ørret_omsatt,1111.5496390873898
2003,5,Laks_omsatt,6647.6761666478878
2003,5,Uke_omsatt,7923.78
2003,5,Ørret_omsatt,945.585472918398
2003,6,Laks_omsatt,6388.3537414181728
2003,6,Uke_omsatt,7224.4079999999994
2003,6,Ørret_omsatt,904.89225943916529
2003,7,Laks_omsatt,8391.7783057862
2003,7,Uke_omsatt,9490.0240000000013
2003,7,Ørret_omsatt,1188.6716890147825
2003,8,Laks_omsatt,6878.4862957716978
2003,8,Uke_omsatt,7778.6849999999995
2003,8,Ørret_omsatt,974.318151067263
2003,9,Laks_omsatt,7767.732231840947
2003,9,Uke_omsatt,8784.308
2003,9,Ørret_omsatt,1100.2773256617754
2003,10,Laks_omsatt,7427.3464762883741
2003,10,Uke_omsatt,8255.0489999999991
2003,10,Ørret_omsatt,954.0455591966379
2003,11,Laks_omsatt,6977.2861413786031
2003,11,Uke_omsatt,7754.8340000000007
2003,11,Ørret_omsatt,896.23513319025756
2003,12,Laks_omsatt,6819.3252792731091
2003,12,Uke_omsatt,7579.27
2003,12,Ørret_omsatt,875.94499868532614
2003,13,Laks_omsatt,6305.7086495747117
2003,13,Uke_omsatt,7008.416
2003,13,Ørret_omsatt,809.97074176091087
2003,14,Laks_omsatt,7155.8313287698829
2003,14,Uke_omsatt,8132.936
2003,14,Ørret_omsatt,1023.0471655543034
2003,15,Laks_omsatt,9704.0397023836031
2003,15,Uke_omsatt,11091.302
2003,15,Ørret_omsatt,1423.1420378932892
2003,16,Laks_omsatt,6735.1848630630229
2003,16,Uke_omsatt,7698.0279999999993
2003,16,Ørret_omsatt,987.74582602471742
2003,17,Laks_omsatt,8799.3601532502689
2003,17,Uke_omsatt,10057.292000000001
2003,17,Ørret_omsatt,1290.4666226352756
2003,18,Laks_omsatt,7737.7438089838233
2003,18,Uke_omsatt,8934.787
2003,18,Ørret_omsatt,1156.4249636385414
2003,19,Laks_omsatt,10315.094624081759
2003,19,Uke_omsatt,12096.442
2003,19,Ørret_omsatt,1585.1720240631619
2003,20,Laks_omsatt,11443.729910725639
2003,20,Uke_omsatt,13419.985
2003,20,Ørret_omsatt,1758.6150361690879
2003,21,Laks_omsatt,10165.394779164817
2003,21,Uke_omsatt,11920.89
2003,21,Ørret_omsatt,1562.1669024606
2003,22,Laks_omsatt,11993.236775722979
2003,22,Uke_omsatt,14064.387999999999
2003,22,Ørret_omsatt,1843.0604960673268
2003,23,Laks_omsatt,13756.931952568277
2003,23,Uke_omsatt,15329.005000000001
2003,23,Ørret_omsatt,1961.1851018425853
2003,24,Laks_omsatt,14226.515324712887
2003,24,Uke_omsatt,15852.25
2003,24,Ørret_omsatt,2028.1288009681073
2003,25,Laks_omsatt,13569.052834038521
2003,25,Uke_omsatt,15119.655999999999
2003,25,Ørret_omsatt,1934.4010972783199
2003,26,Laks_omsatt,15864.307648726837
2003,26,Uke_omsatt,17677.201
2003,26,Ørret_omsatt,2261.6121035564183
2003,27,Laks_omsatt,16484.016901957457
2003,27,Uke_omsatt,18726.716
2003,27,Ørret_omsatt,2313.2175038357341
2003,28,Laks_omsatt,16023.534683964437
2003,28,Uke_omsatt,18293.207000000002
2003,28,Ørret_omsatt,2239.6908969569963
2003,29,Laks_omsatt,16783.498692853333
2003,29,Uke_omsatt,19160.817000000003
2003,29,Ørret_omsatt,2345.9149296872256
2003,30,Laks_omsatt,14125.478125675081
2003,30,Uke_omsatt,16126.298
2003,30,Ørret_omsatt,1974.3898832072368
2003,31,Laks_omsatt,20229.307448480118
2003,31,Uke_omsatt,23023.213
2003,31,Ørret_omsatt,2718.3066316567711
2003,32,Laks_omsatt,21006.100868074449
2003,32,Uke_omsatt,23618.504
2003,32,Ørret_omsatt,2379.4720458198885
